split,model,arch,metric,value,rank
cv,hgb,casc_A_tier12,accuracy,0.3946360153256705,4
cv,hgb,casc_B_K_prev,accuracy,0.4406130268199233,2
cv,hgb,casc_C_K_TC,accuracy,0.3984674329501915,3
temporal,logreg,direct,accuracy,0.3513513513513513,4
temporal,logreg,casc_A_tier12,accuracy,0.4324324324324324,3
temporal,logreg,casc_B_K_prev,accuracy,0.4864864864864865,1
temporal,logreg,casc_C_K_TC,accuracy,0.4729729729729729,2
temporal,rforest,direct,accuracy,0.4324324324324324,4
temporal,rforest,casc_A_tier12,accuracy,0.4459459459459459,1
temporal,rforest,casc_B_K_prev,accuracy,0.4459459459459459,1
temporal,rforest,casc_C_K_TC,accuracy,0.4459459459459459,1
temporal,hgb,direct,accuracy,0.4324324324324324,1
temporal,hgb,casc_A_tier12,accuracy,0.3783783783783784,4
temporal,hgb,casc_B_K_prev,accuracy,0.4324324324324324,1
temporal,hgb,casc_C_K_TC,accuracy,0.4054054054054054,3
cv,logreg,direct,logloss,1.914403672957163,4
cv,logreg,casc_A_tier12,logloss,1.8559834163891105,3
cv,logreg,casc_B_K_prev,logloss,1.605115073637495,1
cv,logreg,casc_C_K_TC,logloss,1.775209471872405,2
cv,rforest,direct,logloss,1.2346737419536082,4
cv,rforest,casc_A_tier12,logloss,1.21180769943816,3
cv,rforest,casc_B_K_prev,logloss,1.1970968556235464,1
cv,rforest,casc_C_K_TC,logloss,1.208874733907778,2
cv,hgb,direct,logloss,1.9832930855870057,3
cv,hgb,casc_A_tier12,logloss,1.9944253785957815,4
cv,hgb,casc_B_K_prev,logloss,1.5862332392657212,1
cv,hgb,casc_C_K_TC,logloss,1.7306133171647606,2
temporal,logreg,direct,logloss,2.163460184169885,4
temporal,logreg,casc_A_tier12,logloss,1.9490020590020607,3
temporal,logreg,casc_B_K_prev,logloss,1.580090229785312,1
temporal,logreg,casc_C_K_TC,logloss,1.771503556927184,2
temporal,rforest,direct,logloss,1.2185307475550289,4
temporal,rforest,casc_A_tier12,logloss,1.2093939075786075,3
temporal,rforest,casc_B_K_prev,logloss,1.170679665494739,1
temporal,rforest,casc_C_K_TC,logloss,1.1816707007134348,2
temporal,hgb,direct,logloss,1.7001637669159415,4
temporal,hgb,casc_A_tier12,logloss,1.6226073383207678,3
temporal,hgb,casc_B_K_prev,logloss,1.3931089118841655,1
temporal,hgb,casc_C_K_TC,logloss,1.5110250905884697,2
