table,column,dtype,n,n_missing,pct_missing,n_unique,top_value,top_value_count,mean,std,min,q25,median,q75,max
triage,arrival_dow,int64,139,0,0.0,5,,,2.5035971223021583,1.3371725562578116,0.0,2.0,3.0,4.0,4.0
triage,note_onset_minutes,float64,109,30,0.2158273381294964,88,,,140.651376146789,72.42561652236203,28.0,74.0,140.0,201.0,290.0
triage,note_has_onset_phrase,int64,139,0,0.0,2,,,0.7841726618705036,0.4128829347380872,0.0,1.0,1.0,1.0,1.0
triage,note_is_festival_template,int64,139,0,0.0,2,,,0.7266187050359713,0.44730684270603804,0.0,0.0,1.0,1.0,1.0
triage,note_char_len,int64,139,0,0.0,47,,,93.20143884892086,17.545873562582514,34.0,90.0,98.0,102.0,155.0
triage,note_word_count,int64,139,0,0.0,13,,,13.568345323741006,2.621124771599626,7.0,13.0,14.0,15.0,27.0
triage,note_location_main_stage,int64,139,0,0.0,2,,,0.19424460431654678,0.3970488569529349,0.0,0.0,0.0,0.0,1.0
triage,note_location_medical_tent,int64,139,0,0.0,2,,,0.1079136690647482,0.3113934898748534,0.0,0.0,0.0,0.0,1.0
triage,note_location_campground,int64,139,0,0.0,2,,,0.12949640287769784,0.336962827995515,0.0,0.0,0.0,0.0,1.0
triage,note_location_shopping_area,int64,139,0,0.0,2,,,0.014388489208633094,0.11951662978045266,0.0,0.0,0.0,0.0,1.0
triage,note_location_other,int64,139,0,0.0,2,,,0.2949640287769784,0.45767587749587846,0.0,0.0,0.0,1.0,1.0
triage,note_location_none,int64,139,0,0.0,2,,,0.2733812949640288,0.44730684270603804,0.0,0.0,0.0,1.0,1.0
triage,note_onset_bucket_fast,int64,139,0,0.0,2,,,0.1223021582733813,0.32881940011784405,0.0,0.0,0.0,0.0,1.0
triage,note_onset_bucket_medium,int64,139,0,0.0,2,,,0.39568345323741005,0.4907655220395697,0.0,0.0,0.0,1.0,1.0
triage,note_onset_bucket_slow,int64,139,0,0.0,2,,,0.26618705035971224,0.44356166455846274,0.0,0.0,0.0,1.0,1.0
triage,note_onset_bucket_unknown,int64,139,0,0.0,2,,,0.2158273381294964,0.4128829347380872,0.0,0.0,0.0,0.0,1.0
triage,triage_chief_agitation,int64,139,0,0.0,2,,,0.1079136690647482,0.3113934898748534,0.0,0.0,0.0,0.0,1.0
triage,triage_chief_palpitations,int64,139,0,0.0,2,,,0.050359712230215826,0.2194770136587298,0.0,0.0,0.0,0.0,1.0
triage,note_arousal_density,float64,139,0,0.0,8,,,0.012281423612358861,0.03782346588838753,0.0,0.0,0.0,0.0,0.1428571428571428
triage,note_perceptual_density,float64,139,0,0.0,5,,,0.017694822470197213,0.04036449897128342,0.0,0.0,0.0,0.0,0.1176470588235294
triage,triage_ag_above_20,int64,139,0,0.0,2,,,0.014388489208633094,0.11951662978045266,0.0,0.0,0.0,0.0,1.0
triage,triage_ag_below_12,int64,139,0,0.0,2,,,0.5323741007194245,0.5007553464572555,0.0,0.0,1.0,1.0,1.0
triage,triage_ph_above_735,int64,139,0,0.0,2,,,0.5539568345323741,0.4988778984316006,0.0,0.0,1.0,1.0,1.0
triage,triage_hr_above_120,int64,139,0,0.0,2,,,0.2805755395683453,0.45090532086332585,0.0,0.0,0.0,1.0,1.0
triage,triage_temp_above_38,int64,139,0,0.0,2,,,0.2733812949640288,0.447306842706038,0.0,0.0,0.0,1.0,1.0
triage,triage_glucose_above_140,int64,139,0,0.0,2,,,0.11510791366906475,0.3203063906986985,0.0,0.0,0.0,0.0,1.0
triage,triage_sympathomimetic_combo,int64,139,0,0.0,2,,,0.30935251798561153,0.46389842815228904,0.0,0.0,0.0,1.0,1.0
triage,cand_shock_index,float64,139,0,0.0,139,,,0.9228546759468523,0.25891823359034377,0.4630508474576271,0.7190550133096716,0.8875838926174496,1.085310915267589,1.6292004634994206
triage,cand_mod_shock_index,float64,139,0,0.0,139,,,1.2197124782242605,0.3071208973595161,0.6641815235008104,0.9723820460651236,1.1774580335731415,1.413598598943532,1.9047013977128333
triage,cand_pulse_pressure,float64,139,0,0.0,127,,,44.19280575539568,17.18605619617071,-3.200000000000003,33.1,43.10000000000001,53.150000000000006,91.8
triage,cand_map,float64,139,0,0.0,129,,,87.41582733812949,7.608380974008611,69.03333333333333,82.91666666666666,87.1,91.36666666666666,110.8
triage,cand_shock_index_age,float64,139,0,0.0,139,,,33.00699326605888,15.511939860822942,8.090452261306531,22.26777065189711,30.34627492130116,42.0235846722469,83.01507537688443
triage,cand_rate_pressure_product,float64,139,0,0.0,139,,,12256.94223021583,2960.9801964429953,7680.0,10084.475,11744.05,14125.544999999998,22951.3
triage,cand_hr_temp_product,float64,139,0,0.0,139,,,3976.421035971223,939.0468890785526,2423.724,3253.2075000000004,3807.089,4667.275,6301.469999999999
triage,cand_k_extreme,int64,139,0,0.0,2,,,0.09352517985611511,0.2922200464047611,0.0,0.0,0.0,0.0,1.0
triage,cand_na_extreme,int64,139,0,0.0,2,,,0.17266187050359713,0.3793216209054408,0.0,0.0,0.0,0.0,1.0
triage,cand_glucose_extreme,int64,139,0,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triage,cand_high_anion_gap,int64,139,0,0.0,2,,,0.4676258992805755,0.5007553464572555,0.0,0.0,0.0,1.0,1.0
triage,cand_acidosis,int64,139,0,0.0,2,,,0.4460431654676259,0.4988778984316006,0.0,0.0,0.0,1.0,1.0
triage,cand_alkalosis,int64,139,0,0.0,2,,,0.014388489208633094,0.11951662978045265,0.0,0.0,0.0,0.0,1.0
triage,cand_poc_abn_count,int64,139,0,0.0,5,,,1.1942446043165467,1.0206398805759673,0.0,0.0,1.0,2.0,4.0
triage,cand_news_hr,int64,139,0,0.0,4,,,1.2517985611510791,1.097385068293649,0.0,0.0,1.0,2.0,3.0
triage,cand_news_rr,int64,139,0,0.0,4,,,1.6258992805755397,1.2981222854735055,0.0,0.0,2.0,3.0,3.0
triage,cand_news_sbp,int64,139,0,0.0,4,,,0.48201438848920863,0.7834568325613882,0.0,0.0,0.0,1.0,3.0
triage,cand_news_spo2,int64,139,0,0.0,4,,,0.60431654676259,0.8131055606102047,0.0,0.0,0.0,1.0,3.0
triage,cand_news_temp,int64,139,0,0.0,3,,,0.48201438848920863,0.8710523203109025,0.0,0.0,0.0,0.0,3.0
triage,cand_news_gcs,int64,139,0,0.0,4,,,1.920863309352518,1.0360512283892818,0.0,1.0,2.0,3.0,3.0
triage,cand_news_total,int64,139,0,0.0,16,,,6.366906474820144,4.426769497821389,0.0,3.0,6.0,10.0,16.0
triage,cand_news_high_risk,int64,139,0,0.0,2,,,0.5611510791366906,0.4980412053506094,0.0,0.0,1.0,1.0,1.0
triage,cand_onset_x_news,float64,109,30,0.2158273381294964,98,,,0.0752152461527522,0.08002638839797635,0.0,0.025,0.0518134715025906,0.0927152317880794,0.4285714285714285
triage,cand_onset_x_hr,float64,109,30,0.2158273381294964,109,,,1.1577252845527628,0.9339664464280653,0.3165137614678899,0.529891304347826,0.7823529411764706,1.3879518072289156,4.839285714285714
triage,cand_log_onset,float64,109,30,0.2158273381294964,88,,,4.7919268143386216,0.6120458792364561,3.367295829986474,4.31748811353631,4.948759890378168,5.308267697401205,5.673323267171493
triage,cand_is_fast_onset,int64,139,0,0.0,2,,,0.1223021582733813,0.32881940011784405,0.0,0.0,0.0,0.0,1.0
triage,cand_is_slow_onset,int64,139,0,0.0,2,,,0.2589928057553957,0.43966603756208983,0.0,0.0,0.0,1.0,1.0
triage,cand_pmh_count,int64,139,0,0.0,5,,,0.8848920863309353,1.0500458008689084,0.0,0.0,1.0,1.5,4.0
triage,cand_sympathetic_score,int64,139,0,0.0,5,,,1.39568345323741,1.2372169858543567,0.0,0.0,1.0,3.0,4.0
triage,cand_cns_depression_score,int64,139,0,0.0,3,,,0.8633093525179856,0.6615905170898392,0.0,0.0,1.0,1.0,2.0
fourh,encounter_id,str,139,0,0.0,139,E001900,1.0,,,,,,,
fourh,encounter_arrival_date,str,139,0,0.0,5,2026-05-14,47.0,,,,,,,
fourh,triage_heart_rate,float64,139,0,0.0,125,,,105.45611510791367,23.382057146291707,65.4,87.4,101.3,122.2,162.2
fourh,triage_respiratory_rate,float64,139,0,0.0,112,,,23.102158273381296,7.216832855728448,8.1,17.1,22.6,28.1,40.8
fourh,triage_snapshot.systolic_bp,float64,139,0,0.0,120,,,116.8776978417266,15.001521870456274,81.2,106.15,117.0,125.7,163.9
fourh,triage_snapshot.diastolic_bp,float64,139,0,0.0,113,,,72.68489208633095,8.53005694859309,50.0,66.69999999999999,73.7,79.0,96.9
fourh,triage_snapshot.oxygen_saturation,float64,139,0,0.0,65,,,95.25179856115108,2.1310116165457638,90.0,93.7,95.4,96.9,99.8
fourh,triage_supplemental_oxygen,int64,139,0,0.0,2,,,0.3669064748201439,0.4837037794581729,0.0,0.0,0.0,1.0,1.0
fourh,triage_temperature_c,float64,139,0,0.0,105,,,37.59345323741007,0.6315620297604153,36.07,37.13,37.5,38.075,39.2
fourh,triage_gcs,int64,139,0,0.0,9,,,12.29496402877698,1.8667698111128221,7.0,11.0,12.0,14.0,15.0
fourh,triage_age,int64,139,0,0.0,49,,,36.410071942446045,15.366447992552809,14.0,25.0,33.0,48.0,75.0
fourh,triage_sex_gender,str,139,0,0.0,3,Female,68.0,,,,,,,
fourh,triage_race_ethnicity,str,139,0,0.0,6,White,66.0,,,,,,,
fourh,triage_brief_note,str,139,0,0.0,138,Nausea/vomiting. Festival attendee from beach shuttle stop with symptom onset ~118 minutes before arrival.,2.0,,,,,,,
fourh,triage_esi,int64,139,0,0.0,5,,,3.41726618705036,1.1911465708588047,1.0,2.0,4.0,4.0,5.0
fourh,triage_pain_scale,int64,139,0,0.0,11,,,5.294964028776978,2.668803231244764,0.0,3.0,5.0,7.0,10.0
fourh,triage_mode_of_arrival,str,139,0,0.0,4,Walk-in,62.0,,,,,,,
fourh,triage_mh_psych,int64,139,0,0.0,2,,,0.22302158273381295,0.41777820666663884,0.0,0.0,0.0,0.0,1.0
fourh,triage_mh_cardiac,int64,139,0,0.0,2,,,0.18705035971223022,0.3913622682141876,0.0,0.0,0.0,0.0,1.0
fourh,triage_mh_pulm,int64,139,0,0.0,2,,,0.15827338129496402,0.366317214354836,0.0,0.0,0.0,0.0,1.0
fourh,triage_mh_renal,int64,139,0,0.0,2,,,0.1223021582733813,0.32881940011784405,0.0,0.0,0.0,0.0,1.0
fourh,triage_mh_substance_use,int64,139,0,0.0,2,,,0.19424460431654678,0.3970488569529349,0.0,0.0,0.0,0.0,1.0
fourh,triage_lab_glucose,float64,139,0,0.0,133,,,114.04748201438849,21.8690381720442,70.7,97.1,112.1,128.35,169.6
fourh,triage_lab_ph,float64,139,0,0.0,100,,,7.357568345323741,0.04968306076473501,7.243,7.3245000000000005,7.357,7.3895,7.462
fourh,triage_lab_sodium,float64,139,0,0.0,80,,,138.0769784172662,3.139424773000289,130.2,135.85000000000002,137.7,140.5,145.9
fourh,triage_lab_potassium,float64,139,0,0.0,93,,,4.4048201438848915,0.4456559284333658,2.96,4.115,4.41,4.695,5.66
fourh,triage_lab_hemoglobin,float64,139,0,0.0,59,,,13.746043165467624,1.631406709927265,9.3,12.75,13.7,14.9,17.7
fourh,triage_lab_anion_gap,float64,139,0,0.0,87,,,11.929496402877696,3.6943641612795006,4.0,9.350000000000001,11.6,14.5,21.6
fourh,is_festival_patient,int64,139,0,0.0,2,,,0.7266187050359713,0.44730684270603804,0.0,0.0,1.0,1.0,1.0
fourh,festival_note_keyword_hit,int64,139,0,0.0,2,,,0.7266187050359713,0.44730684270603804,0.0,0.0,1.0,1.0,1.0
fourh,ed_course_reassessment_4h.heart_rate_4h,float64,139,0,0.0,129,,,93.28273381294963,20.133049935826566,43.5,79.9,90.0,107.44999999999999,147.5
fourh,ed_course_reassessment_4h.respiratory_rate_4h,float64,139,0,0.0,95,,,17.943165467625896,4.825912099112881,7.0,14.850000000000001,17.5,20.65,29.7
fourh,ed_course_reassessment_4h.systolic_bp_4h,float64,139,0,0.0,116,,,123.93165467625899,11.81609094469151,81.1,115.95,124.8,132.1,160.3
fourh,ed_course_reassessment_4h.diastolic_bp_4h,float64,139,0,0.0,112,,,76.59280575539569,7.444934473658454,58.1,71.45,76.7,81.85,92.4
fourh,ed_course_reassessment_4h.oxygen_saturation_4h,float64,139,0,0.0,57,,,96.16834532374102,1.6221311787419703,90.9,95.25,96.3,97.3,98.9
fourh,ed_course_reassessment_4h.supplemental_oxygen_4h,int64,139,0,0.0,2,,,0.12949640287769784,0.336962827995515,0.0,0.0,0.0,0.0,1.0
fourh,ed_course_reassessment_4h.temperature_c_4h,float64,139,0,0.0,94,,,37.115539568345326,0.48847614669169725,35.88,36.78,37.09,37.47,38.14
fourh,ed_course_reassessment_4h.gcs_4h,int64,139,0,0.0,6,,,13.323741007194245,1.330880864114307,10.0,12.0,14.0,14.0,15.0
fourh,ed_course_reassessment_4h.end_tidal_co2_4h,float64,139,0,0.0,92,,,37.6525179856115,4.090486150464018,27.8,34.349999999999994,37.1,40.5,48.3
fourh,ed_course_reassessment_4h.delta_hr,float64,139,0,0.0,123,,,-12.173381294964027,14.86225437646194,-62.7,-20.55,-11.3,-2.45,20.5
fourh,ed_course_reassessment_4h.delta_temp,float64,139,0,0.0,91,,,-0.47791366906474814,0.38728799683563936,-1.36,-0.6950000000000001,-0.46,-0.20500000000000002,0.36
fourh,ed_course_reassessment_4h.delta_gcs,int64,139,0,0.0,8,,,1.0287769784172662,1.382826584552245,-2.0,0.0,1.0,2.0,5.0
fourh,ed_course_reassessment_4h.lactate_4h,float64,75,64,0.460431654676259,69,,,2.5856,1.1674854475625254,0.4,1.75,2.42,3.38,5.45
fourh,ed_course_reassessment_4h.cpk_4h,float64,75,64,0.460431654676259,75,,,502.16133333333323,292.337079086812,34.9,257.4,461.0,698.6,1456.1
fourh,ed_course_reassessment_4h.vbg_ph_4h,float64,75,64,0.460431654676259,56,,,7.358493333333333,0.041756816350288356,7.245,7.3315,7.362,7.39,7.449
fourh,ed_course_reassessment_4h.troponin_4h,float64,75,64,0.460431654676259,62,,,0.056106666666666666,0.04022624305886184,0.0,0.0215,0.048,0.0815,0.153
fourh,ed_course_reassessment_4h.ivf_count_0_4h,int64,139,0,0.0,2,,,0.697841726618705,0.46085422038771773,0.0,0.0,1.0,1.0,1.0
fourh,ed_course_reassessment_4h.benzodiazepine_count_0_4h,int64,139,0,0.0,2,,,0.5899280575539568,0.4936253000158772,0.0,0.0,1.0,1.0,1.0
fourh,ed_course_reassessment_4h.reversal_count_0_4h,int64,139,0,0.0,2,,,0.17266187050359713,0.3793216209054408,0.0,0.0,0.0,0.0,1.0
fourh,ed_course_reassessment_4h.intubated_0_4h,int64,139,0,0.0,2,,,0.06474820143884892,0.2469710155359484,0.0,0.0,0.0,0.0,1.0
fourh,ed_course_reassessment_4h.positive_pressure_0_4h,int64,139,0,0.0,2,,,0.1510791366906475,0.35942121478014055,0.0,0.0,0.0,0.0,1.0
fourh,ed_course_reassessment_4h.cvc_0_4h,int64,139,0,0.0,2,,,0.06474820143884892,0.2469710155359484,0.0,0.0,0.0,0.0,1.0
fourh,narrative_notes_structured_ekg_abnormal,int64,139,0,0.0,2,,,0.2517985611510791,0.4356159254327926,0.0,0.0,0.0,0.5,1.0
fourh,narrative_notes_structured_cxr_abnormal,int64,139,0,0.0,2,,,0.10071942446043165,0.30204529914550604,0.0,0.0,0.0,0.0,1.0
fourh,narrative_notes_structured_ct_head_abnormal,int64,139,0,0.0,2,,,0.06474820143884892,0.2469710155359484,0.0,0.0,0.0,0.0,1.0
fourh,narrative_notes_structured_ct_chest_abnormal,int64,139,0,0.0,2,,,0.07194244604316546,0.2593271050009552,0.0,0.0,0.0,0.0,1.0
fourh,narrative_notes_structured_ct_abd_pelvis_abnormal,int64,139,0,0.0,2,,,0.04316546762589928,0.20396446113862485,0.0,0.0,0.0,0.0,1.0
fourh,additional_labs_drawn_4h,int64,139,0,0.0,2,,,0.539568345323741,0.5002345399237736,0.0,0.0,1.0,1.0,1.0
fourh,arrival_day_of_festival,int64,139,0,0.0,5,,,360.50359712230215,1.3371725562578116,358.0,360.0,361.0,362.0,362.0
fourh,arrival_dow,int64,139,0,0.0,5,,,2.5035971223021583,1.3371725562578116,0.0,2.0,3.0,4.0,4.0
fourh,vts_n_records,float64,139,0,0.0,4,,,7.316546762589928,1.1101375500557535,6.0,6.0,7.0,8.0,9.0
fourh,vts_heart_rate_min,float64,139,0,0.0,122,,,79.33597122302159,15.709025409092499,43.5,68.0,78.3,92.2,118.4
fourh,vts_heart_rate_max,float64,139,0,0.0,122,,,110.31079136690649,20.254810452597415,72.3,94.6,105.7,124.7,168.8
fourh,vts_heart_rate_mean,float64,139,0,0.0,138,,,95.1946956720338,16.543916189113595,62.56666666666666,82.92142857142858,91.19999999999996,108.78611111111111,132.41666666666666
fourh,vts_heart_rate_last,float64,139,0,0.0,129,,,93.28273381294963,20.133049935826566,43.5,79.9,90.0,107.44999999999999,147.5
fourh,vts_heart_rate_range,float64,139,0,0.0,121,,,30.97482014388489,11.44309229974402,8.0,23.4,29.099999999999994,37.0,68.30000000000001
fourh,vts_heart_rate_cv,float64,139,0,0.0,139,,,0.1061539022063553,0.036254131518045955,0.0285804189903056,0.08339740018547485,0.1032983941604378,0.12326788142413381,0.2220028607119522
fourh,vts_heart_rate_slope,float64,139,0,0.0,139,,,-0.027991900710054668,0.05798331361374721,-0.2358984410611722,-0.06297356099649731,-0.0308129165653955,0.014165021203793648,0.1106208198721211
fourh,vts_heart_rate_slope_first60,float64,139,0,0.0,90,,,0.023916888491579635,0.2683103155348827,-0.7371428571428581,-0.012193816187039899,0.0,0.14121955763303146,0.8938775510204076
fourh,vts_heart_rate_slope_60_240,float64,139,0,0.0,139,,,-0.013940677052756652,0.11978150586978828,-0.326119738255689,-0.07664474572524535,-0.0238103113242648,0.034486471379626404,0.4040488865561972
fourh,vts_heart_rate_accel_sign,float64,139,0,0.0,2,,,-0.06474820143884892,1.001510692914511,-1.0,-1.0,-1.0,1.0,1.0
fourh,vts_heart_rate_peak_value,float64,139,0,0.0,122,,,110.31079136690649,20.254810452597415,72.3,94.6,105.7,124.7,168.8
fourh,vts_heart_rate_peak_minute,float64,139,0,0.0,79,,,100.74820143884892,78.18049476202162,0.0,39.5,84.0,158.0,240.0
fourh,vts_heart_rate_nadir_value,float64,139,0,0.0,122,,,79.33597122302159,15.709025409092499,43.5,68.0,78.3,92.2,118.4
fourh,vts_heart_rate_nadir_minute,float64,139,0,0.0,77,,,145.28057553956833,78.45648925941519,0.0,94.0,159.0,210.0,240.0
fourh,vts_heart_rate_n_critical,float64,139,0,0.0,6,,,0.35251798561151076,0.9544959163790689,0.0,0.0,0.0,0.0,5.0
fourh,vts_heart_rate_time_to_first_critical,float64,139,0,0.0,12,,,8.568345323741006,38.59020119669793,-1.0,-1.0,-1.0,-1.0,240.0
fourh,vts_heart_rate_last30_mean,float64,139,0,0.0,129,,,93.76972422062349,19.81919596064518,52.9,80.4,90.95,106.4,147.5
fourh,vts_heart_rate_recovery_halftime,float64,139,0,0.0,60,,,28.942446043165468,33.42366812716651,-1.0,1.0,18.0,45.0,166.0
fourh,vts_respiratory_rate_min,float64,139,0,0.0,95,,,14.406474820143885,4.425227557124311,7.0,10.6,14.2,17.55,26.0
fourh,vts_respiratory_rate_max,float64,139,0,0.0,95,,,22.470503597122303,4.596477120411373,10.9,18.85,21.9,25.75,33.2
fourh,vts_respiratory_rate_mean,float64,139,0,0.0,137,,,18.34415895854745,4.291310717702821,9.166666666666666,14.883333333333333,17.9875,21.356250000000003,28.816666666666663
fourh,vts_respiratory_rate_last,float64,139,0,0.0,95,,,17.943165467625896,4.825912099112881,7.0,14.850000000000001,17.5,20.65,29.7
fourh,vts_respiratory_rate_range,float64,139,0,0.0,95,,,8.064028776978416,2.2634463652671886,2.9000000000000004,6.400000000000002,7.799999999999997,9.5,14.9
fourh,vts_respiratory_rate_cv,float64,139,0,0.0,139,,,0.1518510916550859,0.053920896422435305,0.054515583175738,0.11577656683115359,0.146418325907167,0.1766210738440928,0.3488538150900208
fourh,vts_respiratory_rate_slope,float64,139,0,0.0,139,,,-0.005538696440820542,0.014923445047106153,-0.0432908902744811,-0.01655910366086015,-0.0059177746985465,0.0025355891602717,0.0445570242516932
fourh,vts_respiratory_rate_slope_first60,float64,139,0,0.0,89,,,0.013742694614094199,0.08201424922075085,-0.2375,-0.000892790538387,0.0,0.04553571428571415,0.2617647058823527
fourh,vts_respiratory_rate_slope_60_240,float64,139,0,0.0,139,,,-0.005301275480341609,0.02696237788767494,-0.0744742315692165,-0.02232817737331865,-0.0051904226257431,0.0124225442228511,0.0592539705668075
fourh,vts_respiratory_rate_accel_sign,float64,139,0,0.0,3,,,-0.1223021582733813,0.988780772105305,-1.0,-1.0,-1.0,1.0,1.0
fourh,vts_respiratory_rate_peak_value,float64,139,0,0.0,95,,,22.470503597122303,4.596477120411373,10.9,18.85,21.9,25.75,33.2
fourh,vts_respiratory_rate_peak_minute,float64,139,0,0.0,81,,,108.53956834532374,79.69163996914448,0.0,40.0,100.0,176.0,240.0
fourh,vts_respiratory_rate_nadir_value,float64,139,0,0.0,95,,,14.406474820143885,4.425227557124311,7.0,10.6,14.2,17.55,26.0
fourh,vts_respiratory_rate_nadir_minute,float64,139,0,0.0,82,,,144.41007194244605,76.00045889922862,0.0,96.5,162.0,209.0,240.0
fourh,vts_respiratory_rate_n_critical,float64,139,0,0.0,9,,,1.2014388489208634,1.8773240905071946,0.0,0.0,0.0,2.0,8.0
fourh,vts_respiratory_rate_time_to_first_critical,float64,139,0,0.0,35,,,28.48201438848921,60.22257659835487,-1.0,-1.0,-1.0,27.5,240.0
fourh,vts_respiratory_rate_last30_mean,float64,139,0,0.0,110,,,17.967446043165467,4.604317345348063,7.0,14.850000000000001,17.7,20.325000000000003,29.875000000000004
fourh,vts_respiratory_rate_recovery_halftime,float64,139,0,0.0,67,,,30.884892086330936,33.060567855204184,-1.0,0.5,21.0,49.0,168.0
fourh,vts_systolic_bp_min,float64,139,0,0.0,109,,,109.50287769784174,7.729549384526394,81.1,104.55000000000001,109.3,114.44999999999999,128.6
fourh,vts_systolic_bp_max,float64,139,0,0.0,110,,,138.63597122302158,7.14244312516854,122.4,133.95,138.5,143.55,160.3
fourh,vts_systolic_bp_mean,float64,139,0,0.0,136,,,123.80171006052304,5.230805549026999,113.23333333333332,119.73333333333332,123.55,127.61666666666667,138.975
fourh,vts_systolic_bp_last,float64,139,0,0.0,116,,,123.93165467625899,11.81609094469151,81.1,115.95,124.8,132.1,160.3
fourh,vts_systolic_bp_range,float64,139,0,0.0,127,,,29.133093525179852,8.628696548660802,12.899999999999991,21.999999999999993,28.39999999999999,35.199999999999996,53.0
fourh,vts_systolic_bp_cv,float64,139,0,0.0,139,,,0.0758827453084006,0.022262372178165967,0.0314689947100228,0.05882007737776605,0.0740631558804507,0.09453998772721915,0.1384400489824439
fourh,vts_systolic_bp_slope,float64,139,0,0.0,139,,,0.015388466511890525,0.055747006092628934,-0.1224037247770343,-0.02207593581108655,0.0188886825735774,0.0551646268528855,0.2153785230500325
fourh,vts_systolic_bp_slope_first60,float64,139,0,0.0,90,,,0.012048770283634226,0.2366036116598159,-0.6750000000000007,-0.0610043736332392,0.0,0.07780112044817875,1.1058056872037891
fourh,vts_systolic_bp_slope_60_240,float64,139,0,0.0,139,,,0.007750114728882257,0.10276359577698224,-0.2969052890889628,-0.0581452652734213,0.0117517859519903,0.07275173000856845,0.2733223322332234
fourh,vts_systolic_bp_accel_sign,float64,139,0,0.0,2,,,-0.09352517985611511,0.9992177109027193,-1.0,-1.0,-1.0,1.0,1.0
